date,open,high,low,close,volume,trade_count,vwap
2021-05-25,127.75,128.32,126.32,126.9,72008985,462908,127.073936
2021-05-26,126.89,127.39,126.42,126.85,56567152,415282,126.865112
2021-05-27,126.46,127.64,125.08,125.28,94623841,545568,126.125285
2021-05-28,125.55,125.8,124.55,124.61,71308609,527856,125.064316
2021-06-01,125.15,125.35,123.94,124.28,67636692,501106,124.589786
2021-06-02,124.19,125.24,124.05,125.06,59278133,461406,124.76861
2021-06-03,124.66,124.85,123.13,123.54,76226870,562237,123.771424
2021-06-04,124.01,126.16,123.85,125.89,75167877,467753,125.367963
2021-06-07,126.2,126.32,124.8321,125.9,71057300,504252,125.369057
2021-06-08,126.6,128.46,126.2101,126.74,74402276,532070,127.074198
2021-06-09,127.25,127.75,126.52,127.13,56886058,382622,127.073349
2021-06-10,127.0,128.19,125.94,126.11,71040501,497363,126.661177
2021-06-11,126.47,127.44,126.1,127.35,53307191,352482,127.025024
2021-06-14,127.75,130.54,127.07,130.48,96802564,562868,129.631942
2021-06-15,130.0,130.6,129.39,129.64,62698162,415855,129.835774
2021-06-16,130.4,130.89,128.461,130.15,91600145,616596,130.000332
2021-06-17,129.86,132.55,129.65,131.79,96264356,647796,131.563905
2021-06-18,130.86,131.51,130.24,130.46,108465313,553505,130.786631
2021-06-21,130.3,132.41,129.21,132.3,79390470,504521,131.497546
2021-06-22,132.1,134.08,131.62,133.98,74593343,479622,133.093708
2021-06-23,133.75,134.32,133.23,133.7,60049737,423328,133.786992
2021-06-24,134.41,134.64,132.93,133.41,68573624,442356,133.766018
2021-06-25,133.44,133.89,132.81,133.11,70599810,357312,133.236623
2021-06-28,133.44,135.245,133.35,134.78,62023484,453630,134.807041
2021-06-29,134.87,136.49,134.35,136.33,64550805,442161,135.943834
2021-06-30,136.14,137.41,135.87,136.96,63152664,418564,136.818023
2021-07-01,136.51,137.33,135.76,137.27,52355258,387068,136.670647
2021-07-02,137.91,140.0,137.745,139.96,78816889,520288,139.197833
2021-07-06,140.09,143.15,140.07,142.02,108073843,732897,141.74191
2021-07-07,143.5,144.89,142.66,144.57,104823172,732023,144.018222
2021-07-08,141.6,144.06,140.665,143.24,105562424,770832,142.552264
2021-07-09,142.76,145.65,142.6522,145.11,99689434,634476,144.783783
2021-07-12,146.17,146.32,144.0,144.5,76256045,516165,144.786799
2021-07-13,144.0,147.46,143.63,145.64,100572238,694711,146.054822
2021-07-14,148.0,149.57,147.68,149.15,126807879,795718,148.821011
